Región Salud PTRRMR,Municipio,NOMBRE DEL PRESTADOR - ESE REPS,NOMBRE DE LA SEDE - REPS,NOMBRE DE LA SEDE EN EL PTRRMR,TIPOLOGÍA LINEAMIENTO CIR. 041,Tipo_zona,Caracter,Observaciones
Bajo Magdalena,Guaduas,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,HOSPITAL PRIMARIO II,Urbana,Departamental,
Bajo Magdalena,Guaduas,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,PUESTO DE SALUD LA PAZ - (253200007409),PUESTO DE SALUD LA PAZ - (253200007409) *,PUESTO DE SALUD,Urbana,Departamental,
Bajo Magdalena,Guaduas,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,PUESTO DE SALUD PUERTO BOGOTA - (253200007407),PUESTO DE SALUD PUERTO BOGOTA - (253200007407),PUESTO DE SALUD,Urbana,Departamental,
Bajo Magdalena,Caparrapí,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,CENTRO DE SALUD DE CAPARRAPI - (251480007410),CENTRO DE SALUD DE CAPARRAPI - (251480007410),CENTRO DE SALUD,Urbana,Departamental,
Bajo Magdalena,Caparrapí,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,PUESTO DE SALUD DE CORDOBA,*,PUESTO DE SALUD,Rural,Departamental,
Bajo Magdalena,Guaduas,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,HOSPITAL PRIMARIO II,Urbana,Departamental,
Bajo Magdalena,Guaduas,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,PUESTO DE SALUD LA PAZ - (253200007409),PUESTO DE SALUD LA PAZ - (253200007409) *,PUESTO DE SALUD,Urbana,Departamental,
Bajo Magdalena,Guaduas,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,PUESTO DE SALUD PUERTO BOGOTA - (253200007407),PUESTO DE SALUD PUERTO BOGOTA - (253200007407),PUESTO DE SALUD,Urbana,Departamental,
Bajo Magdalena,Caparrapí,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,CENTRO DE SALUD DE CAPARRAPI - (251480007410),CENTRO DE SALUD DE CAPARRAPI - (251480007410),CENTRO DE SALUD,Urbana,Departamental,
Bajo Magdalena,Caparrapí,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,PUESTO DE SALUD DE CORDOBA,*,PUESTO DE SALUD,Rural,Departamental,
Bajo Magdalena,Chaguaní,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,CENTRO DE SALUD CHAGUANI - (251680007402),CENTRO DE SALUD CHAGUANI - (251680007402),CENTRO DE SALUD,Urbana,Departamental,
Bajo Magdalena,Puerto Salgar,E.S.E. HOSPITAL DIOGENES TRONCOSO DE PUERTO SALGAR,E.S.E. HOSPITAL DIOGENES TRONCOSO DE PUERTO SALGAR,E.S.E. HOSPITAL DIOGENES TRONCOSO DE PUERTO SALGAR,HOSPITAL PRIMARIO I,Urbana,Departamental,
Bajo Magdalena,Puerto Salgar,E.S.E. HOSPITAL DIOGENES TRONCOSO DE PUERTO SALGAR,PUESTO DE SALUD COLORADOS,PUESTO DE SALUD COLORADOS,PUESTO DE SALUD,Urbana,Departamental,
Bajo Magdalena,Puerto Salgar,E.S.E. HOSPITAL DIOGENES TRONCOSO DE PUERTO SALGAR,PUESTO DE SALUD PUERTO LIBRE,PUESTO DE SALUD PUERTO LIBRE,PUESTO DE SALUD,Urbana,Departamental,
Centro,La Mesa,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,HOSPITAL COMPLEMENTARIO I (REGIONAL),Urbana,Departamental,
Centro,La Mesa,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,PUESTO DE SALUD SAN JAVIER - (253860004305),PUESTO DE SALUD SAN JAVIER,PUESTO DE SALUD,Rural,Departamental,
Centro,La Mesa,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,PUESTO DE SALUD SAN JOAQUIN - (253860004306),PUESTO DE SALUD SAN JOAQUIN,PUESTO DE SALUD,Rural,Departamental,
Centro,La Mesa,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,PUESTO DE SALUD LA ESPERANZA - (253860004308),PUESTO DE SALUD LA ESPERANZA,PUESTO DE SALUD,Rural,Departamental,
Centro,Cachipay,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,CENTRO SALUD CACHIPAY - (251230004303),CENTRO SALUD CACHIPAY - (251230004303),CENTRO DE SALUD,Urbana,Departamental,
Centro,Cachipay,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,PUESTO DE SALUD PEÑA NEGRA - (251230004313),PUESTO DE SALUD PEÑA NEGRA - (251230004313),PUESTO DE SALUD,Rural,Departamental,
Centro,Anapoima,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,CENTRO DE SALUD DE ANAPOIMA - (250350004302),CENTRO DE SALUD DE ANAPOIMA - (250350004302),HOSPITAL PRIMARIO I,Urbana,Departamental,
Centro,Anapoima,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,PUESTO DE SALUD SAN ANTONIO (250350004309),PUESTO DE SALUD SAN ANTONIO (250350004309),PUESTO DE SALUD,Rural,Departamental,
Centro,Anapoima,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,PUESTO DE SALUD LA PAZ - (250350004312),PUESTO DE SALUD LA PAZ - (250350004312),PUESTO DE SALUD,Rural,Departamental,
Centro,Tena,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,PUESTO DE SALUD TENA,PUESTO DE SALUD TENA,PUESTO DE SALUD,Urbana,Departamental,
Centro,Tena,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,PUESTO DE SALUD LA GRAN VIA - (257970004310),PUESTO DE SALUD LA GRAN VIA,PUESTO DE SALUD,Urbana,Departamental,
Centro,El Colegio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,HOSPITAL PRIMARIO II,Urbana,Departamental,
Centro,El Colegio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,PUESTO DE SALUD LA VICTORIA,PUESTO DE SALUD LA VICTORIA,PUESTO DE SALUD,Urbana,Departamental,
Centro,El Colegio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,PUESTO DE SALUD PRADILLA,PUESTO DE SALUD PRADILLA,PUESTO DE SALUD,Urbana,Departamental,
Centro,El Colegio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,PUESTO DE SALUD EL TRIUNFO,PUESTO DE SALUD EL TRIUNFO,PUESTO DE SALUD,Urbana,Departamental,
Centro,Anolaima,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,HOSPITAL PRIMARIO I,Urbana,Departamental,
Centro,Anolaima,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD LA FLORIDA,PUESTO DE SALUD LA FLORIDA,PUESTO DE SALUD,Urbana,Departamental,
Centro,Anolaima,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD REVENTONES,*,PUESTO DE SALUD,Urbana,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,CENTRO DE SALUD QUIPILE,CENTRO DE SALUD QUIPILE,CENTRO DE SALUD,Urbana,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD LA SIERRA,PUESTO DE SALUD LA SIERRA,PUESTO DE SALUD,Rural,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD SANTA MARTHA,PUESTO DE SALUD SANTA MARTHA,PUESTO DE SALUD,Rural,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,,,,,
Centro,Anapoima,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,PUESTO DE SALUD LA PAZ - (250350004312),PUESTO DE SALUD LA PAZ - (250350004312),PUESTO DE SALUD,Rural,Departamental,
Centro,Tena,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,PUESTO DE SALUD TENA,PUESTO DE SALUD TENA,PUESTO DE SALUD,Urbana,Departamental,
Centro,Tena,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,PUESTO DE SALUD LA GRAN VIA - (257970004310),PUESTO DE SALUD LA GRAN VIA,PUESTO DE SALUD,Urbana,Departamental,
Centro,El Colegio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,HOSPITAL PRIMARIO II,Urbana,Departamental,
Centro,El Colegio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,PUESTO DE SALUD LA VICTORIA,PUESTO DE SALUD LA VICTORIA,PUESTO DE SALUD,Urbana,Departamental,
Centro,El Colegio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,PUESTO DE SALUD PRADILLA,PUESTO DE SALUD PRADILLA,PUESTO DE SALUD,Urbana,Departamental,
Centro,El Colegio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,PUESTO DE SALUD EL TRIUNFO,PUESTO DE SALUD EL TRIUNFO,PUESTO DE SALUD,Urbana,Departamental,
Centro,Anolaima,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,HOSPITAL PRIMARIO I,Urbana,Departamental,
Centro,Anolaima,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD LA FLORIDA,PUESTO DE SALUD LA FLORIDA,PUESTO DE SALUD,Urbana,Departamental,
Centro,Anolaima,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD REVENTONES,*,PUESTO DE SALUD,Urbana,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,CENTRO DE SALUD QUIPILE,CENTRO DE SALUD QUIPILE,CENTRO DE SALUD,Urbana,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD LA SIERRA,PUESTO DE SALUD LA SIERRA,PUESTO DE SALUD,Rural,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD SANTA MARTHA,PUESTO DE SALUD SANTA MARTHA,PUESTO DE SALUD,Rural,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD LA VIRGEN,PUESTO DE SALUD LA VIRGEN,PUESTO DE SALUD,Rural,Departamental,
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,PUESTO DE SALUD LA BOTICA,PUESTO DE SALUD LA BOTICA,PUESTO DE SALUD,Rural,Departamental,
Centro,San Antonio Del Tequendama,E.S.E. HOSPITAL SAN ANTONIO DEL TEQUENDAMA,E.S.E. HOSPITAL SAN ANTONIO DEL TEQUENDAMA,E.S.E. HOSPITAL SAN ANTONIO DEL TEQUENDAMA,HOSPITAL PRIMARIO I,Urbana,Municipal,
Centro,San Antonio Del Tequendama,E.S.E. HOSPITAL SAN ANTONIO DEL TEQUENDAMA,PUESTO DE SALUD DE SANTANDERCITO,PUESTO DE SALUD DE SANTANDERCITO,PUESTO DE SALUD,Rural,Municipal,
Centro Oriente Almeidas,Chocontá,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,HOSPITAL SAN MARTIN DE PORRES DE CHOCONTA- E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,HOSPITAL SAN MARTIN DE PORRES DE CHOCONTA- E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,HOSPITAL PRIMARIO II,Urbana,Departamental,
Centro Oriente Almeidas,Chocontá,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,SEDE-E.S.E. CENTRO ORIENTE ALMEIDAS,*,CENTRO DE SALUD,Urbana,Departamental,
Centro Oriente Almeidas,Villapinzón,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,PUESTO DE SALUD DE VILLAPINZON-E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,PUESTO DE SALUD DE VILLAPINZON-E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,CENTRO DE SALUD,Urbana,Departamental,
Centro Oriente Almeidas,Tibirita,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,PUESTO DE SALUD DE TIBIRITA-E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,PUESTO DE SALUD DE TIBIRITA-E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS,PUESTO DE SALUD,Urbana,Departamental,
